ticker,bucket,db_close,fh_price,price_pct_diff,db_target_mean,fh_target_mean,target_mean_pct_diff,db_target_high,fh_target_high,target_high_pct_diff,db_target_low,fh_target_low,target_low_pct_diff,db_num_analysts,fh_num_analysts,fh_analyst_src,analyst_cnt_diff,db_market_cap,fh_market_cap,market_cap_pct_diff,db_pe_ttm,fh_pe_ttm,pe_pct_diff,db_eps_ttm,fh_eps_ttm,eps_pct_diff,db_roe_pct,fh_roe_pct,roe_pct_diff,db_net_margin_pct,fh_net_margin_pct,net_margin_pct_diff,acc_quote,acc_profile2,acc_metric,acc_price_target,acc_recommendation
NVDA,large,205.19,205.21,0.009747063697066247,298.9322,,,500.0,,,180.0,,,59.0,68.0,recommendation,9.0,4969906990000.0,4965597881651.432,0.08670400386242157,31.17210264828053,31.1193,0.1693907173228243,6.57222267973318,6.529999999999999,0.6424414051487187,111.65749962836331,111.66,0.002239322611564397,62.9659435640713,62.97,0.006442269739940358,ok,ok,ok,premium,ok
GOOGL,large,359.68,359.7,0.005560498220635512,432.83453,,,515.0,,,340.0,,,53.0,70.0,recommendation,17.0,4350282946986.0,4357882880000.0,0.17469974037586336,27.01899549335863,27.2014,0.6750972910380941,13.241424911149682,13.108600000000001,1.0031013432537663,38.98493363523653,38.98,0.012655235693600721,37.91313072987415,37.92,0.018118446020184274,ok,ok,ok,premium,ok
GOOG,large,358.16,358.18,0.005584096493182323,409.00287,,,475.0,,,195.0,,,14.0,70.0,recommendation,56.0,4331898744140.9995,4357882880000.0,0.5998324844075518,27.01899549335863,27.2014,0.6750972910380941,13.241424911149682,13.108600000000001,1.0031013432537663,38.98493363523653,38.98,0.012655235693600721,37.91313072987415,37.92,0.018118446020184274,ok,ok,ok,premium,ok
AAPL,large,291.13,291.15,0.006869783258331952,312.71628,,,400.0,,,215.0,,,43.0,55.0,recommendation,12.0,4275929952280.0,4275930152547.464,4.683600201645058e-06,34.93968045147869,34.8159,0.35426898551800806,8.332360120015895,8.2666,0.7892136089740873,146.68924498270724,146.69,0.0005147052824832842,27.151882190846223,27.15,0.006932082398541292,ok,ok,ok,premium,ok
MSFT,large,390.74,390.76,0.005118493115622104,561.38763,,,870.0,,,400.0,,,55.0,66.0,recommendation,11.0,2902584738200.0,2902586496772.2485,6.058642234940269e-05,23.14931670074112,22.9626,0.8065754300866466,16.861836789657957,16.7896,0.4284040378226334,33.13037398539619,33.129999999999995,0.0011288293828480484,39.342325613545604,39.34,0.005911225402496773,ok,ok,ok,premium,ok
AMZN,large,238.55,238.57,0.008383986585613836,312.51096,,,370.0,,,207.0,,,63.0,76.0,recommendation,13.0,2566106205000.0,2566108383040.2236,8.487724394995618e-05,28.224659684134014,27.9715,0.8969450365997664,8.451829098017313,8.3676,0.9965783387299318,23.33561425996781,23.34,0.018794191502020552,12.224142944844745,12.22,0.03389149540738745,ok,ok,ok,premium,ok
TSM,large,423.93,423.95,0.004717760007544126,467.84027,,,600.0,,,354.0,,,18.0,42.0,recommendation,24.0,2198704466400.0,58347830566406.0,2553.7368463138896,31.055981618613448,30.2509,2.592356050761311,74.38180600337225,74.38260000000001,0.001067460808530586,36.93259591723171,36.93,0.0070287971025008,46.999137162842295,47.0,0.0018358574429038555,ok,ok,ok,premium,ok
AVGO,large,382.07,382.09,0.0052346428664856726,522.06226,,,650.0,,,215.88,,,45.0,56.0,recommendation,11.0,1817728590600.0,1817728654978.255,3.5416868731520793e-06,64.21735511819082,62.0025,3.448997726727342,6.175900568780282,6.007099999999999,2.733213834976297,36.40371028025778,36.4,0.010192038748855206,38.84847280196118,38.85,0.0039311662175429635,ok,ok,ok,premium,ok
VOO,large,681.95,681.97,0.002932766331839843,,,,,,,,,,,,,,1711552167488.0,,,,,,,,,,,,,,,ok,empty,ok,premium,empty
TSLA,large,406.43,406.45,0.00492089658735374,419.93658,,,600.0,,,123.0,,,41.0,60.0,recommendation,19.0,1526437279600.0,1526438732742.7861,9.519832917822905e-05,335.05608359133123,395.2457,17.9640422473517,1.1985157699443414,1.0943,8.695402476780183,4.792077449738722,4.77,0.4607072813467548,3.9599914179752553,3.95,0.25230908152734766,ok,ok,ok,premium,ok
